id;key;relativeFilePath;fileFormat;lineNumber;locator;sourceText;translatedText;techHash;placeholders;placeholderCheck;translationMethod;isHumanTranslation;status;context;stringType
4043;type;data/scripts/sample_script.json;json;-1;root.script_entries.script_name.variables[0].type;image;;78805a221a988e79ef3f42d7c5bfd418;[];true;auto_extracted;false;new;game data text;sentence
4047;type;data/scripts/sample_script.json;json;-1;root.script_entries.script_name.variables[4].type;image;;78805a221a988e79ef3f42d7c5bfd418;[];true;auto_extracted;false;new;game data text;sentence
4048;type;data/scripts/sample_script.json;json;-1;root.script_entries.script_name.variables[5].type;text;;1cb251ec0d568de6a929b520c4aed8d1;[];true;auto_extracted;false;new;game data text;sentence
4051;type;data/scripts/sample_script.json;json;-1;root.script_entries.script_name.variables[7].type;image;;78805a221a988e79ef3f42d7c5bfd418;[];true;auto_extracted;false;new;game data text;sentence
4052;script;data/scripts/sample_script.json;json;-1;root.script_entries.script_name2.script;@script @clrplayer;;c102f926650c000ae4ddc4c381bfc64e;[];true;auto_extracted;false;new;game data text;sentence
4058;type;data/scripts/sample_script.json;json;-1;root.script_entries.script_name3.variables[0].type;text;;1cb251ec0d568de6a929b520c4aed8d1;[];true;auto_extracted;false;new;game data text;sentence
4097;path;data/scripts/tutorial1/script.json;json;-1;root.script_entries.tutorial1c.attributes.video.path;data/scripts/tutorial1/shieldequip.ogv;data/scripts/tutorial1/shieldequip.ogv;999ac879294236dd4cd0622706075e27;[];true;auto_machine_translated;false;translated;game data text;sentence
4105;path;data/scripts/tutorial1/script.json;json;-1;root.script_entries.tutorial1d.attributes.video.path;data/scripts/tutorial1/lever.ogv;data/scripts/tutorial1/lever.ogv;683d5a30c7fa3ec7a9d8e736297bf92c;[];true;auto_machine_translated;false;translated;game data text;sentence
4114;path;data/scripts/tutorial1/script.json;json;-1;root.script_entries.tutorial1e.attributes.video.path;data/scripts/tutorial1/torchget.ogv;data/scripts/tutorial1/torchget.ogv;57c17ee624506af9402db9257a1f6eff;[];true;auto_machine_translated;false;translated;game data text;sentence
4123;path;data/scripts/tutorial1/script.json;json;-1;root.script_entries.tutorial1e2.attributes.video.path;data/scripts/tutorial1/torch_mk.ogv;data/scripts/tutorial1/torch_mk.ogv;3eaa366304d0e2d7fc582489e57b6d79;[];true;auto_machine_translated;false;translated;game data text;sentence
4136;path;data/scripts/tutorial1/script.json;json;-1;root.script_entries.tutorial1e2_gamepad.attributes.video.path;data/scripts/tutorial1/torch_gamepad.ogv;data/scripts/tutorial1/torch_gamepad.ogv;6facfc37f4bf0d9513b12b2a8b0a21cd;[];true;auto_machine_translated;false;translated;game data text;sentence
4156;path;data/scripts/tutorial1/script.json;json;-1;root.script_entries.tutorial1g.attributes.video.path;data/scripts/tutorial1/block-attack.ogv;data/scripts/tutorial1/block-attack.ogv;5dd923988f2d4550d265e9263fa50aeb;[];true;auto_machine_translated;false;translated;game data text;sentence
4163;path;data/scripts/tutorial1/script.json;json;-1;root.script_entries.tutorial1h.attributes.video.path;data/scripts/tutorial1/hotbarassign_mk.ogv;data/scripts/tutorial1/hotbarassign_mk.ogv;68b2363418a5cd8ea0a672f0dae9135f;[];true;auto_machine_translated;false;translated;game data text;sentence
